x,y,z,mg_ca,sample_mode,dist,st_dev
14708,3163,8930,0.182021,map,NA,NA
14759,3162,8934,0.176632,map,NA,NA
14809,3160,8938,0.144876,map,NA,NA
14860,3159,8941,0.144465,map,NA,NA
14911,3158,8945,0.143858,map,NA,NA
14476,3210,8916,0.301094,map,NA,NA
14528,3209,8920,0.223734,map,NA,NA
14579,3207,8923,0.230304,map,NA,NA
14631,3206,8927,0.215009,map,NA,NA
14683,3204,8931,0.188816,map,NA,NA
14734,3203,8934,0.171061,map,NA,NA
14786,3202,8938,0.155777,map,NA,NA
14838,3200,8942,0.148033,map,NA,NA
14890,3199,8946,0.137261,map,NA,NA
14941,3197,8949,0.147351,map,NA,NA
14446,3252,8916,0.336161,map,NA,NA
14499,3251,8920,0.236454,map,NA,NA
14552,3250,8923,0.2039,map,NA,NA
14605,3249,8927,0.225432,map,NA,NA
14658,3247,8931,0.206889,map,NA,NA
14711,3246,8935,0.165003,map,NA,NA
14764,3245,8939,0.162426,map,NA,NA
14817,3244,8942,0.158077,map,NA,NA
14870,3243,8946,0.132446,map,NA,NA
14923,3242,8950,0.139504,map,NA,NA
14976,3241,8954,0.150669,map,NA,NA
14412,3293,8915,0.293375,map,NA,NA
14462,3293,8919,0.242637,map,NA,NA
14512,3292,8922,0.239694,map,NA,NA
14563,3291,8926,0.219751,map,NA,NA
14613,3290,8930,0.189282,map,NA,NA
14663,3290,8933,0.172822,map,NA,NA
14713,3289,8937,0.168837,map,NA,NA
14764,3288,8941,0.159872,map,NA,NA
14814,3287,8944,0.141639,map,NA,NA
14864,3287,8948,0.145383,map,NA,NA
14915,3286,8952,0.137782,map,NA,NA
14965,3285,8955,0.156456,map,NA,NA
15015,3284,8959,0.147514,map,NA,NA
14382,3335,8915,0.303516,map,NA,NA
14433,3335,8919,0.236135,map,NA,NA
14485,3334,8923,0.239596,map,NA,NA
14536,3333,8926,0.218412,map,NA,NA
14587,3333,8930,0.195072,map,NA,NA
14639,3332,8934,0.1839,map,NA,NA
14690,3332,8937,0.174097,map,NA,NA
14742,3331,8941,0.163099,map,NA,NA
14793,3331,8945,0.143465,map,NA,NA
14844,3330,8949,0.148785,map,NA,NA
14896,3330,8952,0.141323,map,NA,NA
14947,3329,8956,0.171677,map,NA,NA
14999,3329,8960,0.13974,map,NA,NA
15050,3328,8964,0.152566,map,NA,NA
14351,3377,8915,0.348833,map,NA,NA
14404,3376,8919,0.270368,map,NA,NA
14456,3376,8923,0.212102,map,NA,NA
14509,3376,8926,0.221453,map,NA,NA
14561,3375,8930,0.187815,map,NA,NA
14614,3375,8934,0.182969,map,NA,NA
14666,3375,8938,0.180366,map,NA,NA
14718,3374,8942,0.16478,map,NA,NA
14771,3374,8945,0.147348,map,NA,NA
14823,3373,8949,0.148638,map,NA,NA
14876,3373,8953,0.153025,map,NA,NA
14928,3373,8957,0.157866,map,NA,NA
14980,3372,8961,0.143804,map,NA,NA
15033,3372,8965,0.154122,map,NA,NA
15085,3372,8968,0.146519,map,NA,NA
14317,3418,8914,0.405829,map,NA,NA
14367,3418,8918,0.26223,map,NA,NA
14418,3418,8922,0.214762,map,NA,NA
14468,3418,8925,0.237433,map,NA,NA
14518,3417,8929,0.226153,map,NA,NA
14569,3417,8933,0.187228,map,NA,NA
14619,3417,8936,0.181861,map,NA,NA
14670,3417,8940,0.161181,map,NA,NA
14720,3417,8944,0.142187,map,NA,NA
14771,3417,8948,0.159137,map,NA,NA
14821,3416,8951,0.1589,map,NA,NA
14871,3416,8955,0.16005,map,NA,NA
14922,3416,8959,0.133446,map,NA,NA
14972,3416,8962,0.146584,map,NA,NA
15023,3416,8966,0.144832,map,NA,NA
15073,3416,8970,0.138629,map,NA,NA
15123,3415,8973,0.140289,map,NA,NA
14285,3460,8914,0.408512,map,NA,NA
14336,3459,8918,0.298677,map,NA,NA
14388,3459,8922,0.242223,map,NA,NA
14439,3459,8925,0.233097,map,NA,NA
14491,3459,8929,0.206791,map,NA,NA
14542,3459,8933,0.193902,map,NA,NA
14593,3459,8937,0.192118,map,NA,NA
14645,3459,8940,0.160387,map,NA,NA
14696,3459,8944,0.152805,map,NA,NA
14748,3459,8948,0.162128,map,NA,NA
14799,3459,8952,0.171798,map,NA,NA
14850,3459,8955,0.169223,map,NA,NA
14902,3459,8959,0.158399,map,NA,NA
14953,3459,8963,0.137482,map,NA,NA
15004,3459,8967,0.136199,map,NA,NA
15056,3459,8971,0.145145,map,NA,NA
15107,3459,8974,0.143897,map,NA,NA
15159,3459,8978,0.158124,map,NA,NA
14253,3501,8914,0.361408,map,NA,NA
14304,3501,8918,0.243128,map,NA,NA
14355,3502,8921,0.242134,map,NA,NA
14407,3502,8925,0.242376,map,NA,NA
14458,3502,8929,0.204872,map,NA,NA
14510,3503,8933,0.202336,map,NA,NA
14561,3503,8936,0.203908,map,NA,NA
14613,3503,8940,0.171573,map,NA,NA
14664,3504,8944,0.143803,map,NA,NA
14716,3504,8948,0.172425,map,NA,NA
14767,3504,8952,0.17581,map,NA,NA
14818,3505,8955,0.168264,map,NA,NA
14870,3505,8959,0.148324,map,NA,NA
14921,3505,8963,0.163873,map,NA,NA
14973,3505,8967,0.13961,map,NA,NA
15024,3506,8971,0.140609,map,NA,NA
15076,3506,8974,0.161202,map,NA,NA
15127,3506,8978,0.144198,map,NA,NA
15179,3507,8982,0.172204,map,NA,NA
14220,3543,8913,0.367513,map,NA,NA
14271,3543,8917,0.228341,map,NA,NA
14323,3544,8921,0.214099,map,NA,NA
14374,3545,8925,0.232682,map,NA,NA
14426,3545,8929,0.24121,map,NA,NA
14477,3546,8932,0.239115,map,NA,NA
14529,3546,8936,0.185255,map,NA,NA
14580,3547,8940,0.174917,map,NA,NA
14632,3548,8944,0.156056,map,NA,NA
14683,3548,8948,0.168188,map,NA,NA
14735,3549,8951,0.179655,map,NA,NA
14786,3549,8955,0.171891,map,NA,NA
14838,3550,8959,0.156783,map,NA,NA
14889,3551,8963,0.14267,map,NA,NA
14941,3551,8967,0.150472,map,NA,NA
14992,3552,8970,0.146156,map,NA,NA
15044,3553,8974,0.147241,map,NA,NA
15095,3553,8978,0.147025,map,NA,NA
15147,3554,8982,0.163066,map,NA,NA
15198,3554,8986,0.21811,map,NA,NA
14187,3584,8913,0.283283,map,NA,NA
14239,3585,8917,0.261715,map,NA,NA
14290,3586,8921,0.218911,map,NA,NA
14342,3587,8925,0.242737,map,NA,NA
14394,3588,8928,0.230634,map,NA,NA
14445,3589,8932,0.230245,map,NA,NA
14497,3590,8936,0.207198,map,NA,NA
14548,3591,8940,0.19248,map,NA,NA
14600,3591,8944,0.168873,map,NA,NA
14651,3592,8947,0.165814,map,NA,NA
14703,3593,8951,0.177279,map,NA,NA
14754,3594,8955,0.168809,map,NA,NA
14806,3595,8959,0.169243,map,NA,NA
14858,3596,8963,0.138328,map,NA,NA
14909,3597,8967,0.151934,map,NA,NA
14961,3598,8970,0.15356,map,NA,NA
15012,3599,8974,0.136975,map,NA,NA
15064,3599,8978,0.160991,map,NA,NA
15115,3600,8982,0.163215,map,NA,NA
15167,3601,8986,0.16446,map,NA,NA
15218,3602,8989,0.192548,map,NA,NA
14155,3626,8913,0.300662,map,NA,NA
14206,3627,8917,0.318126,map,NA,NA
14258,3628,8920,0.206547,map,NA,NA
14310,3629,8924,0.228666,map,NA,NA
14361,3630,8928,0.24051,map,NA,NA
14413,3632,8932,0.214566,map,NA,NA
14464,3633,8936,0.190316,map,NA,NA
14516,3634,8940,0.185185,map,NA,NA
14568,3635,8943,0.172019,map,NA,NA
14619,3636,8947,0.171854,map,NA,NA
14671,3637,8951,0.166436,map,NA,NA
14722,3638,8955,0.195777,map,NA,NA
14774,3640,8959,0.163885,map,NA,NA
14826,3641,8963,0.158432,map,NA,NA
14877,3642,8966,0.168121,map,NA,NA
14929,3643,8970,0.144402,map,NA,NA
14980,3644,8974,0.141507,map,NA,NA
15032,3645,8978,0.147483,map,NA,NA
15084,3646,8982,0.156917,map,NA,NA
15135,3648,8986,0.177975,map,NA,NA
15187,3649,8989,0.167838,map,NA,NA
15238,3650,8993,0.187581,map,NA,NA
14122,3667,8912,0.295354,map,NA,NA
14174,3669,8916,0.315003,map,NA,NA
14225,3670,8920,0.197486,map,NA,NA
14277,3671,8924,0.185199,map,NA,NA
14329,3673,8928,0.227739,map,NA,NA
14380,3674,8932,0.218058,map,NA,NA
14432,3676,8936,0.191019,map,NA,NA
14484,3677,8939,0.19287,map,NA,NA
14535,3678,8943,0.194058,map,NA,NA
14587,3680,8947,0.180808,map,NA,NA
14639,3681,8951,0.16907,map,NA,NA
14690,3682,8955,0.184516,map,NA,NA
14742,3684,8959,0.17476,map,NA,NA
14794,3685,8962,0.153029,map,NA,NA
14845,3687,8966,0.153457,map,NA,NA
