,,,Mg/Ca,StDev,,RelStDev
13135,1728,8581,0.29945,0.027168,1728,0.0907263316079479
13233,1782,8580,0.387671,0.024798,1782,0.0639666108633352
13330,1836,8578,0.380506,0.029639,1836,0.0778936468807325
13427,1889,8576,0.360767,0.005552,1889,0.015389434177738
13525,1942,8575,0.384109,0.020843,1942,0.054263242985715
13622,1996,8573,0.363458,0.019701,1996,0.05420433722741
13709,2082,8570,0.379255,0.046904,2082,0.123674045167499
13796,2168,8568,0.379102,0.041116,2168,0.108456299360067
13883,2253,8565,0.3823,0.039902,2253,0.104373528642427
13970,2339,8563,0.371429,0.032252,2339,0.086832207501299
14070,2389,8561,0.386565,0.036955,2389,0.0955984116513394
14170,2439,8560,0.405666,0.028406,2439,0.0700231224702095
14270,2489,8558,0.358847,0.030323,2489,0.0845011941022218
14370,2539,8557,0.410636,0.058842,2539,0.14329479149417
14403,2650,8553,0.396632,0.028246,2650,0.071214627160693
14437,2760,8550,0.425626,0.040803,2760,0.0958658540596674
14470,2871,8546,0.370235,0.060563,2871,0.163579888449228
14503,2982,8543,0.34424,0.033559,2982,0.0974872182198466
14537,3092,8539,0.328378,0.029247,3092,0.0890650408979895
14570,3203,8536,0.367495,0.02375,3203,0.0646267296153689
14619,3300,8533,0.380798,0.020096,3300,0.0527733864148446
14668,3398,8530,0.464314,0.04088,3398,0.0880438668659571
14716,3496,8526,0.456693,0.053355,3496,0.116829029566908
14765,3593,8523,0.391767,0.023853,3593,0.0608856794982732
14814,3690,8520,0.280797,0.033319,3690,0.118658675128296
14863,3788,8517,0.193459,0.020579,3788,0.106373960374033
14912,3886,8514,0.042967,0.016206,3886,0.377173179416762
14960,3983,8511,0.066099,0.010876,3983,0.164541067187098
15009,4080,8508,0.092434,0.041031,4080,0.443895103533332
15058,4178,8505,0.146963,0.096612,4178,0.65738995529487
15105,4273,8502,0.129802,0.061972,4273,0.477434862328778
15153,4367,8499,0.105726,0.025578,4367,0.241927245899779
15200,4462,8496,0.154438,0.03147,4462,0.203771092606742
15248,4557,8493,0.104426,0.042602,4557,0.407963533985789
15295,4651,8490,0.098838,0.05119,4651,0.5179182095955
15343,4746,8487,0.134618,0.027877,4746,0.207082262401759
15390,4841,8484,0.132357,0.082246,4841,0.621395166103795
15438,4935,8481,0.110044,0.029543,4935,0.268465341136273
15485,5030,8478,0.070287,0.019959,5030,0.283964317725895
15562,5098,8476,0.098958,0.018155,5098,0.183461670607733
15640,5166,8474,0.073005,0.016126,5166,0.220888980206835
15717,5234,8472,0.094787,0.012652,5234,0.133478219587074
15794,5302,8470,0.068752,0.023854,5302,0.346957179427508
15872,5371,8468,0.095557,0.014885,5371,0.155770901137541
15949,5439,8466,0.108772,0.032975,5439,0.303157062479315
16027,5507,8464,0.11253,0.023767,5507,0.211205900648716
16104,5575,8462,0.101809,0.020278,5575,0.199176890058836
16152,5678,8458,0.0816,0.039269,5678,0.481237745098039
16200,5782,8455,0.061555,0.012201,5782,0.198212980261555
16249,5885,8452,0.088904,0.035006,5885,0.393750562404391
16297,5989,8449,0.148763,0.047442,5989,0.318909944004894
16345,6092,8445,0.126565,0.053732,6092,0.424540749812349
16389,6190,8442,0.156668,0.040825,6190,0.260582888656267
16432,6287,8439,0.091844,0.026937,6287,0.293290797439136
16476,6384,8436,0.078608,0.022533,6384,0.286650213718705
16520,6482,8433,0.067085,0.005204,6482,0.0775732279943355
16563,6579,8430,0.058225,0.011633,6579,0.199793902962645
16607,6677,8427,0.073338,0.011325,6677,0.154421991327825
16661,6770,8424,0.057197,0.012706,6770,0.22214451806913
16716,6863,8421,0.048863,0.00872,6863,0.178458138059472
16770,6956,8418,0.04436,0.005708,6956,0.128674481514878
16825,7049,8415,0.090373,0.017056,7049,0.188728934526905
16879,7142,8412,0.116777,0.057737,7142,0.49442099043476
16934,7234,8410,0.065914,0.009169,7234,0.139105501107504
16988,7327,8407,0.067039,0.026515,7327,0.395516042900401
17042,7420,8404,0.113148,0.034765,7420,0.307252448121045
17097,7513,8401,0.132121,0.085117,7513,0.644235208634509
17151,7606,8398,0.122869,0.051604,7606,0.419992024025588
17206,7699,8395,0.067386,0.01516,7699,0.224972546226219
17260,7792,8392,0.060432,0.013131,7792,0.217285544082605
17324,7871,8390,0.051657,0.011072,7871,0.214336875931626
17387,7949,8387,0.050384,0.009498,7949,0.188512226103525
17451,8028,8385,0.102452,0.031671,8028,0.30913012923125
17514,8107,8382,0.047762,0.003394,8107,0.071060675851095
17578,8185,8380,0.057073,0.007954,8185,0.139365374169923
17642,8264,8377,0.053911,0.014672,8264,0.272152250932092
17705,8342,8375,0.052435,0.00744,8342,0.141889958996853
17769,8421,8373,0.045014,0.011562,8421,0.256853423379393
17835,8504,8370,0.10467,0.032742,8504,0.312811693895099
17901,8588,8367,0.099837,0.031033,8588,0.310836663761932
17966,8671,8365,0.124577,0.0092,8671,0.0738499080889731
18032,8754,8362,0.090768,0.027108,8754,0.29865150713908
18098,8837,8360,0.088772,0.029152,8837,0.328391835263371
18164,8921,8357,0.093724,0.028705,8921,0.306271605992062
18230,9004,8354,0.096416,0.014601,9004,0.151437520743445
