y,x,z,mg_ca,st_dev,dist,sample_mode
17466,21762,8168,0.059902,0.013326,NA,map
17466,21662,8174,0.060262,0.009915,NA,map
17466,21561,8181,0.135833,0.067951,NA,map
17466,21461,8187,0.513058,0.32279,NA,map
17466,21361,8194,0.229624,0.033572,NA,map
17437,21252,8201,0.541766,0.041165,NA,map
17409,21143,8208,0.254834,0.083546,NA,map
17380,21034,8215,0.102072,0.033411,NA,map
17352,20926,8222,0.071608,0.028597,NA,map
17323,20817,8229,0.07133,0.01871,NA,map
17295,20708,8236,0.060872,0.004902,NA,map
17266,20599,8243,0.098031,0.039745,NA,map
17243,20498,8250,0.097393,0.022493,NA,map
17220,20397,8256,0.042258,0.007053,NA,map
17197,20297,8263,0.045797,0.006777,NA,map
17174,20196,8270,0.09898,0.024529,NA,map
17152,20095,8276,0.155423,0.003699,NA,map
17129,19994,8283,0.449978,0.189281,NA,map
17106,19894,8289,0.275416,0.107308,NA,map
17083,19793,8296,0.13595,0.056851,NA,map
17060,19692,8302,0.200429,0.017993,NA,map
17028,19596,8309,0.824623,0.186077,NA,map
16997,19501,8315,0.663965,0.178255,NA,map
16965,19405,8321,0.531519,0.153133,NA,map
16933,19309,8327,0.335769,0.156663,NA,map
16902,19214,8334,0.164083,0.040289,NA,map
16870,19118,8340,0.546784,0.059705,NA,map
16838,19022,8346,0.262881,0.145278,NA,map
16807,18927,8352,0.243085,0.075424,NA,map
16775,18831,8359,0.539285,0.106606,NA,map
16735,18727,8365,0.191812,0.069913,NA,map
16695,18623,8372,0.957247,0.545252,NA,map
16654,18519,8379,0.553827,0.239965,NA,map
16614,18415,8386,0.609631,0.257087,NA,map
16574,18311,8393,0.406654,0.078413,NA,map
16540,18212,8399,0.641229,0.204784,NA,map
16507,18112,8406,0.142669,0.030837,NA,map
16473,18013,8412,0.548809,0.20513,NA,map
16439,17914,8419,0.441111,0.196679,NA,map
16405,17815,8425,0.600181,0.067855,NA,map
16371,17716,8431,0.686842,0.155369,NA,map
16338,17616,8438,0.37401,0.09951,NA,map
16304,17517,8444,0.27969,0.143711,NA,map
16304,17410,8451,0.143372,0.058538,NA,map
16304,17303,8458,0.180281,0.068366,NA,map
16304,17196,8465,0.130433,0.030904,NA,map
16304,17088,8472,0.14726,0.017874,NA,map
16304,16981,8479,0.328561,0.13482,NA,map
16304,16874,8486,0.158576,0.094405,NA,map
16304,16767,8493,0.217568,0.084999,NA,map
16239,16688,8498,0.387739,0.087009,NA,map
16175,16609,8504,0.170564,0.036065,NA,map
16110,16531,8509,0.272227,0.040711,NA,map
16046,16452,8514,0.117862,0.032705,NA,map
15981,16373,8519,0.245508,0.027394,NA,map
15944,16277,8525,1.2309890000000001,0.447537,NA,map
15906,16180,8532,0.657345,0.136321,NA,map
15869,16084,8538,0.60779,0.293185,NA,map
15832,15988,8544,0.318018,0.070299,NA,map
15794,15891,8551,0.261704,0.074254,NA,map
15757,15795,8557,0.270456,0.045164,NA,map
15719,15698,8563,0.283007,0.048333,NA,map
15682,15602,8570,0.435769,0.109917,NA,map
15645,15506,8576,0.250994,0.073969,NA,map
15607,15409,8582,0.13986,0.020244,NA,map
15570,15313,8588,0.125843,0.013379,NA,map
15548,15208,8595,0.091334,0.019093,NA,map
15525,15103,8602,0.10714,0.0148,NA,map
15503,14999,8609,0.109413,0.027066,NA,map
15481,14894,8616,0.115497,0.030923,NA,map
15458,14789,8623,0.097309,0.025522,NA,map
15436,14684,8629,0.100128,0.030446,NA,map
15414,14580,8636,0.082704,0.022343,NA,map
15391,14475,8643,0.075327,0.019678,NA,map
15369,14370,8650,0.097597,0.020621,NA,map
15314,14280,8656,0.150876,0.028622,NA,map
15258,14189,8662,0.183283,0.033127,NA,map
15203,14099,8668,0.323465,0.081083,NA,map
15147,14009,8674,0.265686,0.039412,NA,map
15092,13918,8680,0.534553,0.160504,NA,map
15036,13828,8685,0.452494,0.063283,NA,map
14981,13738,8691,0.483773,0.023372,NA,map
14925,13647,8697,0.72616,0.135883,NA,map
14870,13557,8703,0.355279,0.03736,NA,map
14823,13465,8709,0.546643,0.106394,NA,map
14775,13372,8715,0.345499,0.039756,NA,map
14728,13280,8721,0.637706,0.190271,NA,map
14680,13188,8727,0.412507,0.040116,NA,map
14633,13095,8734,0.805916,0.243978,NA,map
14585,13003,8740,0.272331,0.033731,NA,map
14538,12911,8746,0.260778,0.030049,NA,map
14490,12819,8752,0.261225,0.044948,NA,map
14443,12726,8758,0.231022,0.139929,NA,map
14395,12634,8764,1.216089,0.168781,NA,map
14348,12542,8770,0.223252,0.04974,NA,map
14300,12449,8776,0.451438,0.092813,NA,map
14253,12357,8782,0.161763,0.045247,NA,map
14220,12258,8788,0.088836,0.012417,NA,map
14186,12158,8795,0.20392,0.090666,NA,map
14153,12058,8801,0.176749,0.032076,NA,map
14120,11959,8808,0.582708,0.212969,NA,map
14086,11860,8814,0.410891,0.066917,NA,map
14053,11760,8821,0.466704,0.180204,NA,map
14004,11672,8827,0.947857,0.517268,NA,map
13955,11584,8832,0.711981,0.130905,NA,map
13906,11496,8838,0.359268,0.097014,NA,map
13857,11408,8844,0.60977,0.080171,NA,map
13808,11320,8850,0.965074,0.293246,NA,map
13760,11233,8855,0.166593,0.017424,NA,map
13711,11145,8861,0.218361,0.058227,NA,map
13662,11057,8867,0.505179,0.062906,NA,map
13613,10969,8873,0.18476,0.033826,NA,map
13564,10881,8878,0.100328,0.027739,NA,map
13500,10784,8885,0.109719,0.025686,NA,map
13437,10687,8891,0.15835,0.040622,NA,map
13373,10590,8898,0.28997,0.130446,NA,map
13309,10492,8904,0.14744,0.01042,NA,map
13246,10395,8910,0.116657,0.040648,NA,map
13182,10298,8917,0.492807,0.072438,NA,map
13113,10218,8922,0.211063,0.057588,NA,map
13044,10139,8927,0.835594,0.307205,NA,map
12975,10059,8933,0.667242,0.118539,NA,map
12906,9980,8938,0.215353,0.04984,NA,map
12836,9900,8943,0.154955,0.026794,NA,map
12767,9820,8948,0.249988,0.137252,NA,map
12698,9741,8954,0.192084,0.034657,NA,map
12629,9661,8959,0.185462,0.070764,NA,map
12575,9572,8965,0.253887,0.06524,NA,map
12521,9483,8970,0.274804,0.045085,NA,map
12468,9394,8976,0.237505,0.199319,NA,map
12414,9305,8982,0.197271,0.039175,NA,map
12360,9215,8988,0.165639,0.045127,NA,map
12306,9126,8994,0.751863,0.163993,NA,map
12252,9037,9000,0.119998,0.065255,NA,map
12199,8948,9006,0.126833,0.030972,NA,map
12145,8859,9011,0.211645,0.060847,NA,map
12091,8770,9017,0.169201,0.054405,NA,map
12015,8700,9022,0.114459,0.03485,NA,map
11938,8630,9027,0.133697,0.05485,NA,map
11862,8560,9031,0.175804,0.086797,NA,map
11786,8490,9036,0.180999,0.024307,NA,map
11709,8420,9040,0.160598,0.035525,NA,map
11633,8350,9045,0.234032,0.044636,NA,map
11557,8281,9050,0.234335,0.078664,NA,map
11480,8211,9054,0.339494,0.111736,NA,map
11404,8141,9059,0.283239,0.055399,NA,map
11328,8071,9063,0.444064,0.117472,NA,map
11251,8001,9068,0.234246,0.103021,NA,map
11175,7931,9073,0.258763,0.103838,NA,map
11109,7851,9078,0.360764,0.105265,NA,map
11044,7772,9083,0.687449,0.114565,NA,map
10978,7692,9088,0.630377,0.138276,NA,map
10912,7613,9094,0.594468,0.22286,NA,map
10846,7533,9099,0.673572,0.146921,NA,map
10781,7454,9104,0.349723,0.042246,NA,map
10715,7374,9109,0.21379,0.062751,NA,map
10664,7286,9115,0.203157,0.067392,NA,map
10614,7199,9121,0.140661,0.040016,NA,map
10564,7111,9127,0.200648,0.045358,NA,map
10513,7024,9132,0.135986,0.042807,NA,map
10462,6937,9138,0.121524,0.017218,NA,map
10412,6849,9144,0.081606,0.021254,NA,map
10362,6762,9150,0.100048,0.017963,NA,map
10311,6674,9155,0.086729,0.017741,NA,map
10272,6575,9162,0.075899,0.025451,NA,map
10234,6477,9168,0.378138,0.057345,NA,map
10195,6378,9175,0.413589,0.020466,NA,map
10156,6279,9181,0.467376,0.037957,NA,map
10118,6181,9188,0.460068,0.041082,NA,map
10079,6082,9194,0.458779,0.046822,NA,map
10029,5968,9202,0.443998,0.037145,NA,map
9979,5854,9209,0.408696,0.013963,NA,map
9929,5739,9217,0.44439,0.043695,NA,map
9879,5625,9224,0.614021,0.138495,NA,map
9812,5540,9230,0.636041,0.094623,NA,map
9745,5454,9235,0.594491,0.174068,NA,map
9678,5369,9241,0.550367,0.086652,NA,map
9612,5284,9246,0.791441,0.179322,NA,map
9545,5198,9252,0.572725,0.058433,NA,map
9478,5113,9258,0.551592,0.055624,NA,map
9411,5027,9263,0.549575,0.090256,NA,map
9344,4942,9269,0.428189,0.033956,NA,map
9272,4866,9274,0.712653,0.111242,NA,map
9201,4790,9279,0.497792,0.11152,NA,map
9129,4714,9284,0.454421,0.041118,NA,map
9057,4639,9289,0.376982,0.043639,NA,map
8986,4563,9294,0.381129,0.030265,NA,map
8914,4487,9299,0.354352,0.016433,NA,map
8861,4387,9305,0.375049,0.052892,NA,map
8808,4286,9312,0.315261,0.029738,NA,map
8754,4186,9319,0.296075,0.038273,NA,map
8701,4085,9325,0.514603,0.077473,NA,map
8648,3985,9332,0.500273,0.047032,NA,map
8589,3873,9339,0.421137,0.081284,NA,map
8529,3761,9347,0.34647,0.066167,NA,map
8470,3649,9354,0.298683,0.026069,NA,map
8370,3609,9357,0.289798,0.01417,NA,map
8270,3569,9359,0.342852,0.03969,NA,map
8171,3529,9362,0.382271,0.024875,NA,map
8071,3489,9365,0.362369,0.008872,NA,map
7971,3449,9367,0.424395,0.048307,NA,map
7904,3357,9373,0.371276,0.039984,NA,map
7838,3265,9380,0.324638,0.010891,NA,map
7771,3173,9386,0.635254,0.179919,NA,map
7771,3062,9393,1.125907,0.381065,NA,map
7771,2950,9400,1.037467,0.451829,NA,map
7771,2839,9407,0.763053,0.395017,NA,map
7771,2728,9414,0.6714,0.075178,NA,map
7688,2660,9419,0.417597,0.01536,NA,map
7605,2592,9423,0.392267,0.045721,NA,map
7522,2524,9428,0.482851,0.130396,NA,map
7439,2455,9433,0.428237,0.065263,NA,map
7356,2387,9437,0.254962,0.025303,NA,map
7273,2319,9442,0.196947,0.027665,NA,map
7206,2239,9447,0.216455,0.005772,NA,map
7138,2159,9452,0.198589,0.01166,NA,map
7071,2079,9457,0.193674,0.016554,NA,map
7003,1999,9463,0.220002,0.015218,NA,map
6936,1919,9468,0.264441,0.054158,NA,map
6868,1840,9473,0.297641,0.020917,NA,map
6801,1760,9478,0.404954,0.080889,NA,map
6733,1680,9484,0.57244,0.158599,NA,map
6666,1600,9489,0.563431,0.093257,NA,map
6598,1520,9494,0.46746,0.118152,NA,map
6531,1440,9499,1.064747,0.392922,NA,map
6444,1382,9503,0.520124,0.185494,NA,map
6358,1324,9507,0.371746,0.112391,NA,map
6271,1265,9511,0.337138,0.074609,NA,map
6185,1207,9515,0.351895,0.032718,NA,map
6098,1149,9519,0.318955,0.0271,NA,map
6012,1091,9523,0.272778,0.011803,NA,map
5925,1032,9527,0.242934,0.027939,NA,map
5839,974,9531,0.241138,0.026857,NA,map
5752,916,9534,0.288394,0.0274,NA,map
5666,858,9538,0.263585,0.022405,NA,map
5579,799,9542,0.395379,0.033679,NA,map
5493,741,9546,0.491137,0.014435,NA,map
5406,683,9550,0.559497,0.044335,NA,map
5291,622,9554,0.321654,0.020163,NA,map
5175,560,9558,0.325865,0.019291,NA,map
5060,499,9562,0.282566,0.020666,NA,map
5100,594,9556,0.289939,0.01118,NA,map
5140,690,9550,0.284229,0.013666,NA,map
5180,785,9544,0.290348,0.03986,NA,map
5220,881,9537,0.294471,0.014117,NA,map
5260,976,9531,0.309275,0.007973,NA,map
5300,1071,9525,0.321557,0.025734,NA,map
5340,1167,9519,0.32921,0.010616,NA,map
5380,1262,9512,0.38049,0.027949,NA,map
5420,1358,9506,0.38196,0.015278,NA,map
5460,1453,9500,0.417337,0.013272,NA,map
5493,1560,9493,0.411445,0.02277,NA,map
5527,1667,9486,0.400404,0.048665,NA,map
5560,1774,9479,0.386363,0.016946,NA,map
5593,1881,9472,0.361749,0.018362,NA,map
5627,1988,9465,0.358933,0.041112,NA,map
5660,2095,9458,0.349071,0.031757,NA,map
5710,2200,9451,0.352427,0.032699,NA,map
5760,2306,9444,0.340338,0.018034,NA,map
5810,2412,9437,0.341597,0.017973,NA,map
5860,2517,9430,0.312739,0.00689,NA,map
5893,2628,9423,0.304334,0.02611,NA,map
5927,2738,9416,0.317934,0.011752,NA,map
5960,2848,9409,0.299996,0.019178,NA,map
5993,2959,9401,0.312465,0.009837,NA,map
6027,3070,9394,0.296684,0.017868,NA,map
6060,3180,9387,0.324293,0.014545,NA,map
6100,3286,9380,0.320752,0.033874,NA,map
6140,3393,9373,0.321357,0.017483,NA,map
6180,3499,9366,0.311461,0.015841,NA,map
6220,3606,9359,0.314769,0.017113,NA,map
6260,3712,9352,0.341766,0.015125,NA,map
6310,3819,9345,0.309341,0.014858,NA,map
6360,3926,9338,0.32853,0.032911,NA,map
6410,4032,9331,0.281988,0.027467,NA,map
6460,4139,9324,0.306713,0.065132,NA,map
6550,4204,9320,0.311188,0.024921,NA,map
6640,4269,9316,0.334303,0.052182,NA,map
6730,4333,9311,0.336675,0.01755,NA,map
6820,4398,9307,0.351309,0.00859,NA,map
6910,4463,9303,0.382448,0.047488,NA,map
6991,4529,9298,0.381529,0.053412,NA,map
7072,4594,9294,0.339477,0.032091,NA,map
7154,4660,9290,0.123438,0.038084,NA,map
7235,4726,9285,0.052652,0.015735,NA,map
7316,4791,9281,0.057147,0.020758,NA,map
7398,4857,9277,0.063706,0.026759,NA,map
7479,4922,9272,0.056631,0.020288,NA,map
7560,4988,9268,0.057478,0.02312,NA,map
7660,5088,9261,0.031679,0.01052,NA,map
7760,5188,9255,0.045185,0.006468,NA,map
7808,5281,9249,0.037735,0.004364,NA,map
7855,5375,9242,0.030109,0.001883,NA,map
7903,5468,9236,0.032286,0.001253,NA,map
7951,5562,9230,0.030726,0.00292,NA,map
7999,5655,9224,0.037298,0.006515,NA,map
8046,5749,9218,0.040783,0.005103,NA,map
8094,5842,9212,0.044928,0.006987,NA,map
8142,5936,9206,0.035125,0.005147,NA,map
8190,6029,9200,0.033174,0.004727,NA,map
8237,6123,9193,0.043917,0.010731,NA,map
8285,6216,9187,0.067901,0.029431,NA,map
8369,6275,9183,0.039344,0.012396,NA,map
8454,6334,9180,0.040498,0.002896,NA,map
8538,6393,9176,0.037672,0.00512,NA,map
8622,6452,9172,0.034147,0.006199,NA,map
8709,6502,9168,0.042131,0.00814,NA,map
8797,6552,9165,0.039749,0.003489,NA,map
8884,6603,9162,0.039716,0.003379,NA,map
8972,6653,9158,0.037752,0.009084,NA,map
9059,6703,9155,0.050127,0.007598,NA,map
9139,6766,9151,0.039616,0.008097,NA,map
9218,6829,9147,0.037783,0.007122,NA,map
9298,6892,9142,0.044162,0.015559,NA,map
9378,6955,9138,0.040707,0.004398,NA,map
9458,7018,9134,0.044413,0.009494,NA,map
9538,7082,9130,0.044604,0.007643,NA,map
9617,7145,9126,0.047396,0.008405,NA,map
9697,7208,9121,0.043823,0.009219,NA,map
