X,Y,Z,MgCa,Err
3092.000000,8434.000000,6031.000000,0.051368,NaN
3092.000000,8326.000000,6029.000000,0.060249,NaN
3092.000000,8218.000000,6027.000000,0.054177,NaN
3092.000000,8110.000000,6026.000000,0.061028,NaN
3092.000000,8002.000000,6024.000000,0.047876,NaN
3121.000000,7898.000000,6024.000000,0.050643,NaN
3150.000000,7795.000000,6024.000000,0.051689,NaN
3179.000000,7691.000000,6023.000000,0.062547,NaN
3209.000000,7588.000000,6023.000000,0.062682,NaN
3238.000000,7484.000000,6023.000000,0.056484,NaN
3267.000000,7381.000000,6023.000000,0.065966,NaN
3296.000000,7277.000000,6023.000000,0.057200,NaN
3333.000000,7173.000000,6023.000000,0.067585,NaN
3370.000000,7070.000000,6023.000000,0.054955,NaN
3407.000000,6966.000000,6023.000000,0.054804,NaN
3444.000000,6863.000000,6023.000000,0.055469,NaN
3480.000000,6759.000000,6023.000000,0.049430,NaN
3517.000000,6655.000000,6023.000000,0.055159,NaN
3554.000000,6552.000000,6024.000000,0.051191,NaN
3591.000000,6448.000000,6024.000000,0.048094,NaN
3628.000000,6345.000000,6024.000000,0.055033,NaN
3665.000000,6241.000000,6024.000000,0.052368,NaN
3708.000000,6149.000000,6025.000000,0.054316,NaN
3750.000000,6057.000000,6025.000000,0.060656,NaN
3793.000000,5965.000000,6026.000000,0.057514,NaN
3836.000000,5873.000000,6026.000000,0.054656,NaN
3878.000000,5781.000000,6027.000000,0.054636,NaN
3921.000000,5689.000000,6027.000000,0.056018,NaN
3964.000000,5597.000000,6028.000000,0.055454,NaN
4006.000000,5505.000000,6029.000000,0.050085,NaN
4049.000000,5413.000000,6029.000000,0.055991,NaN
4112.000000,5323.000000,6031.000000,0.052958,NaN
4176.000000,5232.000000,6032.000000,0.052922,NaN
4239.000000,5142.000000,6034.000000,0.059516,NaN
4303.000000,5052.000000,6035.000000,0.057606,NaN
4366.000000,4962.000000,6037.000000,0.056998,NaN
4430.000000,4871.000000,6039.000000,0.058604,NaN
4493.000000,4781.000000,6040.000000,0.058457,NaN
4543.000000,4694.000000,6041.000000,0.055075,NaN
4593.000000,4607.000000,6042.000000,0.053398,NaN
4643.000000,4519.000000,6043.000000,0.056859,NaN
4693.000000,4432.000000,6044.000000,0.060823,NaN
4743.000000,4345.000000,6045.000000,0.059328,NaN
4810.000000,4246.000000,6047.000000,0.064596,NaN
4878.000000,4148.000000,6048.000000,0.063618,NaN
4945.000000,4049.000000,6050.000000,0.067012,NaN
5000.000000,3954.000000,6051.000000,0.071687,NaN
5054.000000,3859.000000,6052.000000,0.083178,NaN
5109.000000,3764.000000,6053.000000,0.069116,NaN
5164.000000,3670.000000,6054.000000,0.070919,NaN
5219.000000,3575.000000,6055.000000,0.077614,NaN
5273.000000,3480.000000,6057.000000,0.074664,NaN
5328.000000,3385.000000,6058.000000,0.073657,NaN
5376.000000,3290.000000,6058.000000,0.068280,NaN
5423.000000,3196.000000,6059.000000,0.072724,NaN
5470.000000,3101.000000,6060.000000,0.073637,NaN
5518.000000,3006.000000,6061.000000,0.077475,NaN
5566.000000,2912.000000,6061.000000,0.063936,NaN
5613.000000,2817.000000,6062.000000,0.082058,NaN
5660.000000,2723.000000,6063.000000,0.066585,NaN
5708.000000,2628.000000,6064.000000,0.062494,NaN
5762.000000,2530.000000,6065.000000,0.066409,NaN
5815.000000,2432.000000,6066.000000,0.073337,NaN
5869.000000,2334.000000,6067.000000,0.060366,NaN
5923.000000,2236.000000,6068.000000,0.047201,NaN
5977.000000,2138.000000,6069.000000,0.052177,NaN
6030.000000,2040.000000,6070.000000,0.047370,NaN
6084.000000,1942.000000,6071.000000,0.048930,NaN
6145.000000,1854.000000,6072.000000,0.055291,NaN
6206.000000,1767.000000,6074.000000,0.050467,NaN
6266.000000,1679.000000,6075.000000,0.048436,NaN
6327.000000,1592.000000,6077.000000,0.049691,NaN
6388.000000,1504.000000,6078.000000,0.055089,NaN
6448.000000,1416.000000,6080.000000,0.070705,NaN
6509.000000,1329.000000,6081.000000,0.070136,NaN
