y,x,z,mg_ca,st_dev,part,sample_mode,dist
8878,-2487,10904,0.040614,0.016934,A,map,NA
8817,-2530,10905,0.045713,0.01147,A,map,NA
8755,-2573,10905,0.056937,0.011231,A,map,NA
8687,-2607,10905,0.070811,0.015223,A,map,NA
8620,-2642,10905,0.061172,0.021886,A,map,NA
8552,-2676,10905,0.05918,0.012173,A,map,NA
8485,-2711,10906,0.047173,0.012204,A,map,NA
8417,-2745,10906,0.046435,0.01064,A,map,NA
8349,-2779,10906,0.062265,0.012741,A,map,NA
8282,-2814,10906,0.049362,0.012769,A,map,NA
8214,-2848,10906,0.044692,0.008751,A,map,NA
8147,-2883,10906,0.055632,0.019892,A,map,NA
8079,-2917,10906,0.045566,0.007123,A,map,NA
8011,-2951,10906,0.055713,0.014265,A,map,NA
7944,-2986,10906,0.057084,0.02177,A,map,NA
7876,-3020,10906,0.050357,0.017671,A,map,NA
7809,-3055,10906,0.051609,0.013741,A,map,NA
7741,-3089,10906,0.049453,0.011252,A,map,NA
7674,-3124,10906,0.0518,0.022263,A,map,NA
7606,-3158,10906,0.059076,0.018999,A,map,NA
7538,-3192,10906,0.042669,0.008562,A,map,NA
7471,-3227,10906,0.055961,0.018552,A,map,NA
7403,-3261,10906,0.063915,0.025489,A,map,NA
7336,-3296,10906,0.056422,0.013658,A,map,NA
7268,-3330,10906,0.051629,0.013138,A,map,NA
7200,-3364,10906,0.066305,0.021554,A,map,NA
7133,-3399,10906,0.045289,0.016555,A,map,NA
7065,-3433,10906,0.061496,0.022291,A,map,NA
6998,-3468,10906,0.045623,0.015317,A,map,NA
6930,-3502,10906,0.057607,0.017483,A,map,NA
6862,-3536,10906,0.061743,0.016522,A,map,NA
6795,-3571,10907,0.066633,0.023228,A,map,NA
6727,-3605,10907,0.058961,0.010629,A,map,NA
6660,-3640,10907,0.075972,0.018494,A,map,NA
6592,-3674,10907,0.055971,0.020334,A,map,NA
6524,-3708,10907,0.06827,0.023233,A,map,NA
6457,-3743,10907,0.048947,0.010667,A,map,NA
6389,-3777,10907,0.052095,0.011126,A,map,NA
6322,-3812,10907,0.062087,0.011138,A,map,NA
6254,-3846,10907,0.059286,0.015705,A,map,NA
6187,-3881,10907,0.054896,0.025672,A,map,NA
6119,-3915,10907,0.061007,0.021668,A,map,NA
6051,-3949,10907,0.04798,0.018866,A,map,NA
5984,-3984,10907,0.052118,0.012963,A,map,NA
5916,-4018,10907,0.037677,0.008695,A,map,NA
5849,-4053,10907,0.044801,0.01461,A,map,NA
5781,-4087,10907,0.042543,0.013059,A,map,NA
5713,-4121,10907,0.037369,0.007574,A,map,NA
5646,-4156,10907,0.03271,0.006489,A,map,NA
5578,-4190,10907,0.034804,0.006816,A,map,NA
5511,-4225,10907,0.041077,0.009927,A,map,NA
5443,-4259,10907,0.039086,0.007969,A,map,NA
5379,-4301,10908,0.043527,0.006828,A,map,NA
5315,-4344,10908,0.04288,0.006317,A,map,NA
5251,-4386,10908,0.049011,0.006853,A,map,NA
5187,-4429,10909,0.059907,0.005069,A,map,NA
5123,-4471,10909,0.10528,0.039172,A,map,NA
5059,-4513,10910,0.088772,0.01976,A,map,NA
4995,-4556,10910,0.126432,0.022453,A,map,NA
4931,-4598,10910,0.162996,0.043253,A,map,NA
4867,-4640,10911,0.270349,0.072958,A,map,NA
4803,-4683,10911,0.242168,0.042805,A,map,NA
4739,-4725,10912,0.406797,0.028634,A,map,NA
4674,-4768,10912,0.470929,0.023476,A,map,NA
4610,-4810,10912,0.508564,0.024732,A,map,NA
4546,-4852,10913,0.548108,0.030489,A,map,NA
4482,-4895,10913,0.591518,0.062764,A,map,NA
4418,-4937,10914,0.573265,0.035538,A,map,NA
4354,-4979,10914,0.585018,0.069764,A,map,NA
4290,-5022,10914,0.622645,0.067174,A,map,NA
4226,-5064,10915,0.553496,0.026869,A,map,NA
4162,-5106,10915,0.546594,0.075996,A,map,NA
