y,x,z,mg_ca,st_dev,sample_mode,dist
18344,28701,7727,0.572479,0.215962,map,NA
18263,28766,7725,0.312111,0.064894,map,NA
18183,28831,7723,0.394727,0.104656,map,NA
18102,28896,7720,0.320163,0.038614,map,NA
18021,28961,7718,0.255546,0.085212,map,NA
17941,29026,7716,0.217644,0.095079,map,NA
17860,29091,7714,0.163099,0.046788,map,NA
17779,29156,7712,0.213486,0.076582,map,NA
17699,29221,7710,0.622661,0.141339,map,NA
17618,29287,7708,0.598818,0.041668,map,NA
17538,29352,7705,0.410892,0.065817,map,NA
17457,29417,7703,0.36332,0.028945,map,NA
17376,29482,7701,0.352526,0.020177,map,NA
17296,29547,7699,0.361175,0.056414,map,NA
17215,29612,7697,0.342399,0.04787,map,NA
17134,29677,7695,0.318756,0.025747,map,NA
17054,29742,7692,0.313569,0.035418,map,NA
16973,29807,7690,0.321779,0.047939,map,NA
16892,29872,7688,0.300412,0.021953,map,NA
16811,29938,7686,0.33274,0.033619,map,NA
16729,30003,7684,0.311825,0.030523,map,NA
16648,30068,7682,0.293998,0.016808,map,NA
16567,30133,7680,0.322214,0.043219,map,NA
16486,30199,7677,0.345737,0.041077,map,NA
16405,30264,7675,0.397229,0.014701,map,NA
16324,30329,7673,0.357267,0.028977,map,NA
16242,30394,7671,0.36212,0.040884,map,NA
16161,30460,7669,0.367856,0.02096,map,NA
16080,30525,7667,0.359191,0.043514,map,NA
15999,30588,7664,0.351534,0.044683,map,NA
15918,30650,7662,0.340618,0.020373,map,NA
15838,30713,7660,0.358599,0.027968,map,NA
15757,30776,7658,0.33332,0.032255,map,NA
15676,30838,7656,0.369104,0.03605,map,NA
15595,30901,7654,0.339578,0.007525,map,NA
15515,30964,7652,0.309069,0.020453,map,NA
15434,31027,7650,0.293179,0.014589,map,NA
15353,31089,7648,0.304188,0.034406,map,NA
15272,31152,7646,0.25234,0.009395,map,NA
15192,31215,7644,0.271168,0.027515,map,NA
15111,31277,7642,0.270698,0.016718,map,NA
15030,31340,7640,0.271635,0.008127,map,NA
14947,31404,7637,0.315275,0.008736,map,NA
14864,31468,7635,0.345468,0.031887,map,NA
14781,31532,7633,0.295148,0.053103,map,NA
14698,31596,7631,0.302513,0.032775,map,NA
14615,31660,7629,0.300134,0.034448,map,NA
14532,31724,7627,0.312094,0.079809,map,NA
